Designator,Mid X,Mid Y,Rotation,Layer
C2,106.889852,-129.139963,0.0,top
C3,106.208163,-135.310239,180.0,top
C4,100.333754,-116.480395,180.0,top
D1,83.552327,-96.703088,0.0,top
D2,131.052327,-94.203088,0.0,top
D3,131.052327,-75.503088,0.0,top
D4,116.052327,-64.203088,0.0,top
D5,88.552327,-65.503088,0.0,top
D6,76.052327,-79.203088,180.0,top
D7,109.394827,-76.403088,0.0,top
J1,87.789085,-154.002563,180.0,top
R1,90.692084,-136.550215,270.0,top
U2,99.68152,-150.615,180.0,top
U3,106.414827,-132.353088,180.0,top
